REF_DATE,GEO,Statistics,UOM,COORDINATE,VALUE
1998,"Montréal, Quebec [24462]",Non-violent crime severity index,Index,14.5,140.95
1998,"Montréal, Quebec [24462]",Youth crime severity index,Index,14.7,
1998,"Montréal, Quebec [24462]",Youth violent crime severity index,Index,14.9,
1998,"Montréal, Quebec [24462]",Youth non-violent crime severity index,Index,14.11,
1998,"Montréal, Quebec [24462]",Weighted clearance rate,Number,14.13,25.83
1998,"Montréal, Quebec [24462]",Violent weighted clearance rate,Number,14.15,46.39
1998,"Montréal, Quebec [24462]",Non-violent weighted clearance rate,Number,14.17,18.32
1998,"Montréal, Quebec [24462]",Percent change in non-violent weighted clearance rate,Percent,14.18,
1998,"Ottawa-Gatineau, Quebec part [24505]",Crime severity index,Index,15.1,103.11
1998,"Ottawa-Gatineau, Quebec part [24505]",Violent crime severity index,Index,15.3,69.7
1998,"Ottawa-Gatineau, Quebec part [24505]",Non-violent crime severity index,Index,15.5,115.96
1998,"Ottawa-Gatineau, Quebec part [24505]",Youth crime severity index,Index,15.7,
1998,"Ottawa-Gatineau, Quebec part [24505]",Youth violent crime severity index,Index,15.9,
1998,"Ottawa-Gatineau, Quebec part [24505]",Youth non-violent crime severity index,Index,15.11,
1998,"Ottawa-Gatineau, Quebec part [24505]",Weighted clearance rate,Number,15.13,34.12
1998,"Ottawa-Gatineau, Quebec part [24505]",Violent weighted clearance rate,Number,15.15,66.83
1998,"Ottawa-Gatineau, Quebec part [24505]",Non-violent weighted clearance rate,Number,15.17,26.56
1998,"Ottawa-Gatineau, Quebec part [24505]",Percent change in non-violent weighted clearance rate,Percent,15.18,
1998,Ontario [35],Crime severity index,Index,16.1,100.72
1998,Ontario [35],Violent crime severity index,Index,16.3,84.54
1998,Ontario [35],Non-violent crime severity index,Index,16.5,106.94
1998,Ontario [35],Youth crime severity index,Index,16.7,95.43
1998,Ontario [35],Youth violent crime severity index,Index,16.9,83.17
1998,Ontario [35],Youth non-violent crime severity index,Index,16.11,104.77
1998,Ontario [35],Weighted clearance rate,Number,16.13,35.79
1998,Ontario [35],Violent weighted clearance rate,Number,16.15,56.74
1998,Ontario [35],Non-violent weighted clearance rate,Number,16.17,29.43
1998,Ontario [35],Percent change in non-violent weighted clearance rate,Percent,16.18,
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Crime severity index,Index,17.1,111.15
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Violent crime severity index,Index,17.3,93.19
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Non-violent crime severity index,Index,17.5,118.06
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth crime severity index,Index,17.7,
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth violent crime severity index,Index,17.9,
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth non-violent crime severity index,Index,17.11,
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Weighted clearance rate,Number,17.13,29.16
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Violent weighted clearance rate,Number,17.15,52.8
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Non-violent weighted clearance rate,Number,17.17,21.99
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in non-violent weighted clearance rate,Percent,17.18,
1998,"Ottawa-Gatineau, Ontario part [35505]",Crime severity index,Index,18.1,113.82
1998,"Ottawa-Gatineau, Ontario part [35505]",Violent crime severity index,Index,18.3,101
1998,"Ottawa-Gatineau, Ontario part [35505]",Non-violent crime severity index,Index,18.5,118.75
1998,"Ottawa-Gatineau, Ontario part [35505]",Youth crime severity index,Index,18.7,
1998,"Ottawa-Gatineau, Ontario part [35505]",Youth violent crime severity index,Index,18.9,
1998,"Ottawa-Gatineau, Ontario part [35505]",Youth non-violent crime severity index,Index,18.11,
1998,"Ottawa-Gatineau, Ontario part [35505]",Weighted clearance rate,Number,18.13,27.67
1998,"Ottawa-Gatineau, Ontario part [35505]",Violent weighted clearance rate,Number,18.15,49.58
1998,"Ottawa-Gatineau, Ontario part [35505]",Non-violent weighted clearance rate,Number,18.17,20.51
1998,"Ottawa-Gatineau, Ontario part [35505]",Percent change in non-violent weighted clearance rate,Percent,18.18,
1998,"Toronto, Ontario [35535]",Crime severity index,Index,19.1,91.83
1998,"Toronto, Ontario [35535]",Violent crime severity index,Index,19.3,98.7
1998,"Toronto, Ontario [35535]",Non-violent crime severity index,Index,19.5,89.18
1998,"Toronto, Ontario [35535]",Youth crime severity index,Index,19.7,
1998,"Toronto, Ontario [35535]",Youth violent crime severity index,Index,19.9,
1998,"Toronto, Ontario [35535]",Youth non-violent crime severity index,Index,19.11,
1998,"Toronto, Ontario [35535]",Weighted clearance rate,Number,19.13,31.71
1998,"Toronto, Ontario [35535]",Violent weighted clearance rate,Number,19.15,44.66
1998,"Toronto, Ontario [35535]",Non-violent weighted clearance rate,Number,19.17,26.2
1998,"Toronto, Ontario [35535]",Percent change in non-violent weighted clearance rate,Percent,19.18,
1998,"Hamilton, Ontario [35537]",Crime severity index,Index,20.1,100.94
1998,"Hamilton, Ontario [35537]",Violent crime severity index,Index,20.3,79.44
1998,"Hamilton, Ontario [35537]",Non-violent crime severity index,Index,20.5,109.21
1998,"Hamilton, Ontario [35537]",Youth crime severity index,Index,20.7,
1998,"Hamilton, Ontario [35537]",Youth violent crime severity index,Index,20.9,
1998,"Hamilton, Ontario [35537]",Youth non-violent crime severity index,Index,20.11,
1998,"Hamilton, Ontario [35537]",Weighted clearance rate,Number,20.13,30.03
1998,"Hamilton, Ontario [35537]",Violent weighted clearance rate,Number,20.15,50.57
1998,"Hamilton, Ontario [35537]",Non-violent weighted clearance rate,Number,20.17,24.28
1998,"Hamilton, Ontario [35537]",Percent change in non-violent weighted clearance rate,Percent,20.18,
1998,"St.Catharines-Niagara, Ontario [35539]",Crime severity index,Index,21.1,107.97
1998,"St.Catharines-Niagara, Ontario [35539]",Violent crime severity index,Index,21.3,63.04
1998,"St.Catharines-Niagara, Ontario [35539]",Non-violent crime severity index,Index,21.5,125.24
1998,"St.Catharines-Niagara, Ontario [35539]",Youth crime severity index,Index,21.7,
1998,"St.Catharines-Niagara, Ontario [35539]",Youth violent crime severity index,Index,21.9,
1998,"St.Catharines-Niagara, Ontario [35539]",Youth non-violent crime severity index,Index,21.11,
1998,"St.Catharines-Niagara, Ontario [35539]",Weighted clearance rate,Number,21.13,34.94
1998,"St.Catharines-Niagara, Ontario [35539]",Violent weighted clearance rate,Number,21.15,67.61
1998,"St.Catharines-Niagara, Ontario [35539]",Non-violent weighted clearance rate,Number,21.17,28.62
1998,"St.Catharines-Niagara, Ontario [35539]",Percent change in non-violent weighted clearance rate,Percent,21.18,
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Crime severity index,Index,22.1,100.61
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Violent crime severity index,Index,22.3,72.92
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Non-violent crime severity index,Index,22.5,111.25
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Youth crime severity index,Index,22.7,
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Youth violent crime severity index,Index,22.9,
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Youth non-violent crime severity index,Index,22.11,
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Weighted clearance rate,Number,22.13,30.84
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Violent weighted clearance rate,Number,22.15,62.52
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Non-violent weighted clearance rate,Number,22.17,22.86
1998,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Percent change in non-violent weighted clearance rate,Percent,22.18,
1998,"London, Ontario [35555]",Crime severity index,Index,23.1,106.98
1998,"London, Ontario [35555]",Violent crime severity index,Index,23.3,64.13
1998,"London, Ontario [35555]",Non-violent crime severity index,Index,23.5,123.46
